¯rocess 3 lives, counter 1000!
Process 4 lives, counter 1001!
Process 5 lives, counter 1002!
Process 6 lives, counter 1003!
Process 7 lives, counter 1004!
Process 8 lives, counter 1005!
Process 9 lives, counter 1006!
Process 10 lives, counter 1007!
Process 11 lives, counter 1008!
Process 12 lives, counter 1009!
Process 13 lives, counter 1010!
Process 14 lives, counter 1011!
Process 15 lives, counter 1012!
Process 3 lives, counter 1013!
Process 4 lives, counter 1014!
Process 5 lives, counter 1015!
Process 6 lives, counter 1016!
Process 7 lives, counter 1017!
Process 8 lives, counter 1018!
Process 9 lives, counter 1019!
Process 10 lives, counter 1020!
Process 11 lives, counter 1021!
Process 12 lives, counter 1022!
Process 13 lives, counter 1023!
Process 14 lives, counter 1024!
